dataset_name,task_type,accuracy_ensemble,fit_seconds_ensemble,predict_seconds_ensemble,ttt_update_seconds_ensemble,accuracy_icl,fit_seconds_icl,predict_seconds_icl,ttt_update_seconds_icl,delta_ensemble_minus_icl,delta_pp,total_seconds_ensemble,total_seconds_icl,winner
pc4,binclass,0.9178082191780822,8.319255590438843,0.5645904541015625,8.247117280960083,0.9143835616438356,1.0242352485656738,0.4975659847259521,0.9531469345092772,0.003424657534246589,0.3424657534246589,8.883846044540405,1.521801233291626,ensemble
IBM_HR_Analytics_Employee_Attrition_and_Performance,binclass,0.8673469387755102,8.099680423736572,0.5314257144927979,8.031821012496948,0.8639455782312925,1.003117322921753,0.3912844657897949,0.9356465339660645,0.003401360544217691,0.3401360544217691,8.63110613822937,1.3944017887115479,ensemble
Employee,binclass,0.8549946294307197,23.846984148025516,1.0931529998779297,23.79862642288208,0.8517722878625135,2.4556729793548584,0.8347597122192383,2.408729076385498,0.0032223415682062218,0.3222341568206222,24.940137147903446,3.2904326915740967,ensemble
kdd_ipums_la_97-small,binclass,0.8892100192678227,29.98724102973938,1.443647384643555,29.90744042396545,0.8863198458574181,3.000082492828369,1.239887237548828,2.917738676071167,0.0028901734104046506,0.28901734104046506,31.430888414382935,4.239969730377197,ensemble
jm1,binclass,0.8231511254019293,99.61201190948486,3.2454946041107178,99.45296168327332,0.8203950390445567,9.132935285568236,3.189464807510376,8.973265409469604,0.002756086357372567,0.2756086357372567,102.85750651359558,12.322400093078612,ensemble
FOREX_audcad-day-High,binclass,0.7438692098092643,8.26325511932373,0.4272668361663818,8.231936931610107,0.7411444141689373,0.9601850509643556,0.3276093006134033,0.9307858943939208,0.0027247956403270157,0.27247956403270157,8.690521955490112,1.2877943515777588,ensemble
allbp,multiclass,0.981456953642384,20.87593126296997,1.1568856239318848,20.768115043640137,0.9788079470198676,2.200856685638428,1.008540153503418,2.094316244125366,0.0026490066225163256,0.26490066225163256,22.032816886901855,3.209396839141846,ensemble
dis,binclass,0.9867549668874172,20.88637113571167,1.1051819324493408,20.77727770805359,0.9841059602649008,2.199876308441162,1.0458719730377195,2.093177080154419,0.0026490066225163256,0.26490066225163256,21.99155306816101,3.245748281478882,ensemble
BLE_RSSI_dataset_for_Indoor_localization,multiclass,0.7416124186279419,40.64458703994751,1.5219871997833252,40.608410596847534,0.7391086629944917,8.593618392944336,1.430232048034668,8.550940990447998,0.0025037556334501776,0.25037556334501776,42.166574239730835,10.023850440979004,ensemble
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,binclass,0.6125,7.654464721679687,0.4511566162109375,7.621144533157349,0.61,0.9608078002929688,0.2811543941497803,0.928431510925293,0.0025000000000000577,0.2500000000000058,8.105621337890625,1.241962194442749,ensemble
default_of_credit_card_clients,binclass,0.8291666666666667,596.2981946468353,13.9343581199646,595.7783348560333,0.8266666666666667,50.75223970413208,13.87788438796997,50.22044134140015,0.0025000000000000577,0.2500000000000058,610.2325527667999,64.63012409210205,ensemble
mfeat-pixel,multiclass,0.9775,32.78095006942749,2.830952882766724,32.12688088417053,0.975,4.1852686405181885,2.69498610496521,3.524463415145874,0.0025000000000000577,0.2500000000000058,35.611902952194214,6.880254745483398,ensemble
estimation_of_obesity_levels,multiclass,0.9858156028368794,9.496496200561523,0.6189088821411133,9.448014974594116,0.983451536643026,1.085432052612305,0.4847667217254638,1.0356595516204834,0.0023640661938534313,0.23640661938534313,10.115405082702637,1.5701987743377688,ensemble
Marketing_Campaign,binclass,0.8928571428571429,11.599836349487305,0.7132763862609863,11.529572248458862,0.890625,1.3949360847473145,0.5848956108093262,1.3228483200073242,0.0022321428571429047,0.22321428571429047,12.313112735748291,1.9798316955566406,ensemble
dry_bean_dataset,multiclass,0.9287550495776716,140.55821871757507,4.408001184463501,140.39432764053345,0.9265515975027544,12.516892671585085,3.979394674301148,12.35384726524353,0.0022034520749172337,0.22034520749172337,144.96621990203857,16.496287345886234,ensemble
National_Health_and_Nutrition_Health_Survey,binclass,0.8399122807017544,9.302944898605348,0.5194473266601562,9.274646759033203,0.8377192982456141,1.3790922164916992,0.3508849143981933,1.352006196975708,0.002192982456140302,0.21929824561403022,9.822392225265505,1.7299771308898926,ensemble
wine-quality-white,multiclass,0.6857142857142857,26.116323709487915,1.2526957988739014,26.061270475387573,0.6836734693877551,2.67079758644104,1.02819561958313,2.61592173576355,0.0020408163265306367,0.20408163265306367,27.369019508361816,3.69899320602417,ensemble
Pumpkin_Seeds,binclass,0.876,11.735645055770874,0.6304380893707275,11.698960065841677,0.874,1.2927393913269043,0.4957246780395508,1.2577550411224363,0.0020000000000000018,0.20000000000000018,12.366083145141602,1.788464069366455,ensemble
