dataset_name,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy_iclv2_ensmble8,accuracy_tabpfnv3,delta_tabpfnv3_minus_iclv2_ensmble8,delta_correct_estimate,winner
internet_usage,multiclass,8086,1618,2022,70,46,0.5509396636993076,0.5464886251236399,-0.004451038575667643,-8.999999999999973,iclv2_ensmble8
jm1,binclass,8708,1742,2177,21,2,0.8231511254019293,0.8240698208543867,0.0009186954524574853,1.9999999999999454,tabpfnv3_results
jungle_chess_2pcs_raw_endgame_complete,multiclass,35855,7171,8964,6,3,0.891789379741187,0.9601740294511378,0.06838464970995084,612.9999999999993,tabpfnv3_results
kc1,binclass,1687,338,422,21,2,0.8767772511848341,0.8909952606635071,0.014218009478673022,6.000000000000015,tabpfnv3_results
kdd_ipums_la_97-small,binclass,4150,830,1038,20,2,0.8872832369942196,0.8911368015414258,0.003853564547206201,4.000000000000036,tabpfnv3_results
kr-vs-k,multiclass,22444,4489,5612,6,18,0.9130434782608696,0.9246258018531718,0.011582323592302157,64.9999999999997,tabpfnv3_results
kropt,multiclass,22444,4489,5612,6,18,0.908766928011404,0.9242694226657164,0.015502494654312415,87.00000000000128,tabpfnv3_results
led24,multiclass,2560,512,640,24,10,0.734375,0.7328125,-0.0015625000000000222,-1.0000000000000142,iclv2_ensmble8
led7,multiclass,2560,512,640,7,10,0.740625,0.740625,0.0,0.0,tie
letter,multiclass,16000,3200,4000,15,26,0.9895,0.9905,0.0010000000000000009,4.0000000000000036,tabpfnv3_results
madeline,binclass,2512,503,628,259,2,0.9251592356687898,0.931528662420382,0.006369426751592244,3.9999999999999294,tabpfnv3_results
mammography,binclass,8946,1790,2237,6,2,0.989718372820742,0.9888243182834152,-0.0008940545373268272,-2.0000000000001124,iclv2_ensmble8
maternal_health_risk,multiclass,811,163,203,6,3,0.8768472906403941,0.8669950738916257,-0.009852216748768461,-1.9999999999999976,iclv2_ensmble8
mfeat-factors,multiclass,1600,320,400,216,10,0.9825,0.9775,-0.0050000000000000044,-2.0000000000000018,iclv2_ensmble8
mfeat-fourier,multiclass,1600,320,400,76,10,0.9225,0.9225,0.0,0.0,tie
mfeat-karhunen,multiclass,1600,320,400,64,10,0.975,0.975,0.0,0.0,tie
mfeat-morphological,multiclass,1600,320,400,6,10,0.7725,0.7675,-0.0050000000000000044,-2.0000000000000018,iclv2_ensmble8
mfeat-pixel,multiclass,1600,320,400,240,10,0.975,0.9725,-0.0024999999999999467,-0.9999999999999787,iclv2_ensmble8
mfeat-zernike,multiclass,1600,320,400,47,10,0.89,0.8375,-0.05249999999999999,-20.999999999999996,iclv2_ensmble8
mice_protein_expression,multiclass,864,173,216,75,8,1.0,1.0,0.0,0.0,tie
microaggregation2,multiclass,16000,3200,4000,20,5,0.6415,0.6425,0.0010000000000000009,4.0000000000000036,tabpfnv3_results
mobile_c36_oversampling,binclass,41408,8282,10352,6,2,0.9943006182380216,0.9943972179289028,9.65996908811606e-05,1.0000000000017746,tabpfnv3_results
mozilla4,binclass,12436,2488,3109,4,2,0.9446767449340624,0.9382438082984884,-0.0064329366355739825,-19.999999999999513,iclv2_ensmble8
naticusdroid+android+permissions+dataset,binclass,23465,4693,5867,86,2,0.9722174876427476,0.97204704278166,-0.00017044486108763746,-1.0000000000011688,iclv2_ensmble8
national-longitudinal-survey-binary,binclass,3926,786,982,16,2,1.0,1.0,0.0,0.0,tie
okcupid_stem,multiclass,21341,4269,5336,13,3,0.7526236881559221,0.75,-0.002623688155922066,-14.000000000000144,iclv2_ensmble8
one-hundred-plants-margin,multiclass,1280,256,320,64,100,0.884375,0.890625,0.006249999999999978,1.999999999999993,tabpfnv3_results
