dataset_name,direction,accuracy_base,accuracy_ttt,acc_delta_ttt_minus_base,meta_n_features,meta_n_num_features,meta_n_cat_features,meta_total_samples,meta_train_size,meta_val_size,meta_test_size,meta_task_type,meta_num_classes,n_features_base,n_features_ttt,n_classes_base,n_classes_ttt,ttt_applied,ttt_epochs,ttt_steps,f1,roc_auc
semeion,down,0.9498432601880876,0.9435736677115988,-0.006269592476488839,256,256,0,1593,1019,255,319,multiclass,,256,256,10,10,True,8,8,0.9436635171585812,0.9984080932399187
Gender_Gap_in_Spanish_WP,down,0.6063157894736843,0.6,-0.006315789473684275,13,13,0,4746,3036,760,950,multiclass,3,13,13,3,3,True,8,8,0.5280679361655268,0.697667104764003
pc3,down,0.8977635782747604,0.8913738019169329,-0.006389776357827448,37,37,0,1563,1000,250,313,binclass,,37,37,2,2,True,8,8,0.8566138074533663,0.8276801601423487
Pima_Indians_Diabetes_Database,down,0.7597402597402597,0.7532467532467533,-0.00649350649350644,8,8,0,768,491,123,154,binclass,2,8,8,2,2,True,8,8,0.7465323791854404,0.8730555555555557
cmc,down,0.5932203389830508,0.5864406779661017,-0.006779661016949157,9,2,7,1473,942,236,295,multiclass,,9,9,3,3,True,8,8,0.5850476984347505,0.7652591931438671
turiye_student_evaluation,down,0.5257731958762887,0.5189003436426117,-0.0068728522336769515,32,30,2,5820,3724,932,1164,multiclass,5,32,32,5,5,True,8,8,0.4882001192010846,0.7624217898393558
phoneme,down,0.8954671600370028,0.8880666049953746,-0.007400555041628176,5,5,0,5404,3458,865,1081,binclass,,5,5,2,2,True,8,8,0.8870249263418348,0.9485193320891208
heloc,down,0.7315,0.7235,-0.008000000000000007,22,22,0,10000,6400,1600,2000,binclass,,22,22,2,2,True,8,8,0.7231511011752562,0.7993204999999999
Marketing_Campaign,down,0.890625,0.8816964285714286,-0.008928571428571397,27,19,8,2240,1433,359,448,binclass,2,27,27,2,2,True,8,8,0.8662058288281828,0.9192031966153484
PizzaCutter3,down,0.8851674641148325,0.8755980861244019,-0.009569377990430561,37,37,0,1043,667,167,209,binclass,,37,37,2,2,True,8,8,0.8219900400351527,0.881195652173913
thyroid-dis,down,0.6964285714285714,0.6857142857142857,-0.010714285714285676,26,6,20,2800,1792,448,560,multiclass,,26,26,5,5,True,8,8,0.6643819519032679,0.8849375775097759
vehicle,down,0.8941176470588236,0.8823529411764706,-0.01176470588235301,18,18,0,846,540,136,170,multiclass,,18,18,4,4,True,8,8,0.8796836867650675,0.9719712232212232
rl,down,0.8772635814889336,0.8651911468812877,-0.012072434607645843,12,5,7,4970,3180,796,994,binclass,,12,12,2,2,True,8,8,0.8651365482829707,0.9372229351966932
autoUniv-au4-2500,down,0.71,0.696,-0.014000000000000012,100,58,42,2500,1600,400,500,multiclass,,100,100,3,3,True,8,8,0.6671143931908402,0.7656417421331737
first-order-theorem-proving,down,0.6388888888888888,0.6241830065359477,-0.014705882352941124,51,51,0,6118,3915,979,1224,multiclass,,51,51,6,6,True,8,8,0.6024136654432544,0.8443293830653392
abalone,down,0.6447368421052632,0.6291866028708134,-0.015550239234449759,8,7,1,4177,2672,669,836,multiclass,,8,8,3,3,True,8,8,0.6333758280580857,0.8276843543161713
kc1,down,0.8767772511848341,0.8601895734597157,-0.016587677725118377,21,21,0,2109,1349,338,422,binclass,,21,21,2,2,True,8,8,0.8412088697657577,0.8351217410040939
contraceptive_method_choice,down,0.6203389830508474,0.6033898305084746,-0.016949152542372836,9,5,4,1473,942,236,295,multiclass,3,9,9,3,3,True,8,8,0.6056285263866551,0.7930880652175393
autoUniv-au7-1100,down,0.4227272727272727,0.4045454545454545,-0.018181818181818188,12,8,4,1100,704,176,220,multiclass,,12,12,5,5,True,8,8,0.3877693748199367,0.725326077128971
artificial-characters,down,0.8434442270058709,0.824853228962818,-0.018590998043052864,7,7,0,10218,6539,1635,2044,multiclass,,7,7,10,10,True,8,8,0.8244649744881934,0.9869921539614416
steel_plates_faults,down,0.8740359897172236,0.8534704370179949,-0.020565552699228773,27,25,2,1941,1241,311,389,multiclass,7,27,27,7,7,True,8,8,0.8534416346969115,0.9823244190815464
