dataset,key,layer,group,shape,numel,base_norm,current_norm,delta_l2,rel_l2,mean_abs_delta,median_abs_delta,max_abs_delta,rms_delta,changed_fraction_exact,changed_fraction_gt_1e_12,cosine_similarity
Amazon,icl_predictor.tf_icl.blocks.2.norm2.weight,block_02,norm2,512,512,21.497783660888672,21.497560501098633,0.0007085417746566236,3.295882895805926e-05,2.7691363357007504e-05,2.8967857360839844e-05,5.0187110900878906e-05,3.131342791345806e-05,1.0,1.0,0.9999999403953552
Amazon,icl_predictor.tf_icl.blocks.2.norm2.bias,block_02,norm2,512,512,0.5551314353942871,0.5548815131187439,0.0007214420475065708,0.0012995878120158346,2.857127765309997e-05,3.0014925869181752e-05,5.000503733754158e-05,3.1883533764099454e-05,1.0,1.0,0.9999991655349731
Amazon,icl_predictor.tf_icl.blocks.2.attn.in_proj_weight,block_02,attn.in_proj,1536x512,786432,35.53467559814453,35.535274505615234,0.02665272355079651,0.0007500483148406017,2.6294395865988918e-05,2.6404857635498047e-05,5.073637294117361e-05,3.005501785372317e-05,0.9999885559082031,0.9999885559082031,1.00004243850708
Amazon,icl_predictor.tf_icl.blocks.2.attn.in_proj_bias,block_02,attn.in_proj,1536,1536,1.092119812965393,1.0921646356582642,0.0009059945587068796,0.0008295743268735652,1.6366340787499212e-05,1.172628253698349e-05,5.028652958571911e-05,2.3116923273847776e-05,0.9973958134651184,0.9973958134651184,0.9999997615814209
Amazon,icl_predictor.tf_icl.blocks.2.attn.out_proj.weight,block_02,attn.out_proj,512x512,262144,12.919859886169434,12.919916152954102,0.015332972630858421,0.0011867754577796167,2.620274608489126e-05,2.6458874344825745e-05,5.074590444564819e-05,2.9947289655219982e-05,0.9999885559082031,0.9999885559082031,1.0000085830688477
Amazon,icl_predictor.tf_icl.blocks.2.attn.out_proj.bias,block_02,attn.out_proj,512,512,0.31015610694885254,0.3101019859313965,0.0006113926647230983,0.001971241742539511,2.3605658498127013e-05,2.2425316274166107e-05,4.9441237933933735e-05,2.7019991505311258e-05,1.0,1.0,0.9999982118606567
Amazon,icl_predictor.tf_icl.blocks.3.linear1.weight,block_03,ffn.linear1,1024x512,524288,24.47816276550293,24.47808837890625,0.0221553947776556,0.0009051085651280287,2.6918118237517774e-05,2.751871943473816e-05,5.075894296169281e-05,3.0598325378359145e-05,0.9999828338623047,0.9999828338623047,1.0000219345092773
Amazon,icl_predictor.tf_icl.blocks.3.linear1.bias,block_03,ffn.linear1,1024,1024,1.110303521156311,1.1103010177612305,0.0009123361087404191,0.0008216997346720624,2.4665645469212905e-05,2.434663474559784e-05,5.056336522102356e-05,2.8510502148637e-05,1.0,1.0,0.9999997019767761
Amazon,icl_predictor.tf_icl.blocks.3.linear2.weight,block_03,ffn.linear2,512x1024,524288,14.849864959716797,14.849823951721191,0.021520115435123444,0.0014491792008546592,2.596291778900195e-05,2.642720937728882e-05,5.077710375189781e-05,2.9720916991578506e-05,0.9999828338623047,0.9999828338623047,1.000023603439331
Amazon,icl_predictor.tf_icl.blocks.3.linear2.bias,block_03,ffn.linear2,512,512,0.3365177810192108,0.33650943636894226,0.0006099232705309987,0.00181245480902053,2.3126864107325673e-05,2.2395048290491104e-05,5.0405971705913544e-05,2.6955057658847713e-05,1.0,1.0,0.9999983906745911
Amazon,icl_predictor.tf_icl.blocks.3.norm1.weight,block_03,norm1,512,512,22.723756790161133,22.72372817993164,0.0005366731202229857,2.36172709107382e-05,1.934356987476349e-05,1.7404556274414062e-05,5.030632019042969e-05,2.3717827717428967e-05,1.0,1.0,0.9999998807907104
